time_seconds,speed_meters_per_second,acceleration_meters_per_second_squared
362,26.054426,-0.490236
363,25.512583,-0.541843
364,24.503912,-1.008671
365,23.452034,-1.051878
366,22.914988,-0.537046
367,22.45014,-0.464848
368,22.024881,-0.425259
369,21.679668,-0.345213
370,21.333595,-0.346073
371,21.039093,-0.294502
372,20.694447,-0.344646
373,20.101606,-0.592841
374,19.4818,-0.619806
375,19.694624,0.212824
376,19.501707,-0.192917
377,19.34373,-0.157977
378,19.176039,-0.167691
379,19.028532,-0.147507
380,18.966257,-0.062275
381,19.013044,0.046787
382,18.91534,-0.097704
383,18.707264,-0.208076
384,18.158442,-0.548822
385,17.624159,-0.534283
386,17.480259,-0.1439
387,17.045454,-0.434805
388,16.160063,-0.885391
389,15.263713,-0.89635
390,14.768132,-0.495581
391,14.176493,-0.591639
392,12.876601,-1.299892
393,11.18898,-1.687621
394,9.474657,-1.714323
395,7.969254,-1.505403
396,6.2522507,-1.7170033
397,4.786921,-1.4653297
398,4.7181973,-0.0687237
399,5.774466,1.0562687
400,6.579766,0.8053
401,7.2049365,0.6251705
402,6.4113884,-0.7935481
403,5.5538287,-0.8575597
404,5.2336264,-0.3202023
405,5.137334,-0.0962924
406,5.177744,0.04041
407,5.6518865,0.4741425
408,6.2660823,0.6141958
409,6.6658235,0.3997412
410,6.948513,0.2826895
411,6.866256,-0.082257
412,6.8443666,-0.0218894
413,6.8913155,0.0469489
414,6.908236,0.0169205
415,6.9534726,0.0452366
416,6.8425355,-0.1109371
417,6.7086296,-0.1339059
418,6.463988,-0.2446416
419,6.472409,0.008421
420,6.728951,0.256542
421,7.0464983,0.3175473
422,7.5084853,0.461987
423,8.111365,0.6028797
424,8.218091,0.106726
425,8.471933,0.253842
426,8.920091,0.448158
427,9.4115,0.491409
428,9.398685,-0.012815
429,9.390643,-0.008042
430,9.42589,0.035247
431,9.410374,-0.015516
432,9.207285,-0.203089
433,9.0225525,-0.1847325
434,8.808947,-0.2136055
435,8.595627,-0.21332
436,8.285816,-0.309811
437,8.769188,0.483372
438,8.882783,0.113595
439,8.873475,-0.009308
440,9.005845,0.13237
441,9.210624,0.204779
442,9.512333,0.301709
443,9.669068,0.156735
444,9.542393,-0.126675
445,9.1768055,-0.3655875
446,8.830961,-0.3458445
447,8.469097,-0.361864
448,8.197446,-0.271651
449,8.1760235,-0.0214225
450,8.335864,0.1598405
451,8.405754,0.06989
452,8.266184,-0.13957
453,7.8481894,-0.4179946
454,7.118059,-0.7301304
455,6.279313,-0.838746
456,5.255922,-1.023391
457,3.9930487,-1.2628733
458,2.8506122,-1.1424365
459,2.0863097,-0.7643025
460,2.3910258,0.3047161
461,3.8177755,1.4267497
462,4.707184,0.8894085
463,5.9784365,1.2712525
464,7.041688,1.0632515
465,7.376047,0.334359
466,7.853816,0.477769
467,8.012386,0.15857
468,7.3004775,-0.7119085
469,6.087272,-1.2132055
470,4.563409,-1.523863
471,3.2894964,-1.2739126
472,1.3898978,-1.8995986
473,1.7273101,0.3374123
474,2.147507,0.4201969
475,3.9968364,1.8493294
476,4.3612905,0.3644541
477,4.6396337,0.2783432
478,4.999229,0.3595953
479,5.404078,0.404849
480,5.468344,0.064266
481,4.8601785,-0.6081655
482,3.4799666,-1.3802119
483,3.0471473,-0.4328193
484,3.453144,0.4059967
485,4.0822983,0.6291543
486,4.8837886,0.8014903
487,5.5380106,0.654222
488,5.8601575,0.3221469
489,5.9151425,0.054985
490,5.977334,0.0621915
491,6.0146523,0.0373183
492,5.9611435,-0.0535088
493,5.899437,-0.0617065
494.0009999,6.18777,0.288044973
495.0009999,6.671583,0.483813
496.0009999,6.9727683,0.3011853
497.0009999,6.8103733,-0.162395
498.0009999,6.3301406,-0.4802327
499.0009999,5.8526225,-0.4775181
500.0009999,5.6336546,-0.2189679
501.0009999,5.199288,-0.4343666
502.0009999,4.978215,-0.221073
503.0009999,5.01447,0.036255
504.0009999,5.2235713,0.2091013
505.0009999,5.517329,0.2937577
506.0009999,5.9084215,0.3910925
507.0009999,6.1698637,0.2614422
508.0009999,6.439251,0.2693873
509.0009999,6.3628674,-0.0763836
510.0009999,5.6861863,-0.6766811
511.0009999,4.7540193,-0.932167
512.0009999,3.2434387,-1.5105806
513.0009999,1.9866321,-1.2568066
514.0009999,1.6600093,-0.3266228
515.0009999,1.6197581,-0.0402512
516.0009999,1.8432217,0.2234636
517.0009999,2.392127,0.5489053
518.0009999,2.901669,0.509542
519.0009999,3.5538328,0.6521638
520.0009999,4.022429,0.4685962
521.0009999,4.518862,0.496433
522.0009999,5.553547,1.034685
523.0009999,6.202193,0.648646
524.0009999,6.3826003,0.1804073
525.0009999,6.12845,-0.2541503
526.0009999,5.8794923,-0.2489577
527.0009999,5.9107895,0.0312972
528.0009999,6.0488997,0.1381102
529.0009999,6.2325563,0.1836566
